nohup: ignoring input
/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Using Automatic Mixed Precision (AMP)
Train dataset size: 8855 | Batches: 368
Validation dataset size: 2933 | Batches: 123
Variant settings: variant=baseline, attention_mode=none, spectral_norm=off, mhsa_heads=4
Resumed from checkpoint epoch 7
Resumed best_val_loss: 5.2814
Step [2652] | D_Loss: 0.5157 | G_Loss: 14.3092 | G_GAN: 14.2634 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0229 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2653] | D_Loss: 0.1551 | G_Loss: 15.9104 | G_GAN: 15.8643 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0231 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2654] | D_Loss: 0.2444 | G_Loss: 14.4233 | G_GAN: 14.3730 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0252 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2655] | D_Loss: 0.1957 | G_Loss: 10.5151 | G_GAN: 10.4690 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0231 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2656] | D_Loss: 0.5130 | G_Loss: 9.0154 | G_GAN: 8.9730 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0212 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2657] | D_Loss: 0.2910 | G_Loss: 9.9239 | G_GAN: 9.8799 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0220 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2658] | D_Loss: 0.1536 | G_Loss: 16.8240 | G_GAN: 16.7775 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0233 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2659] | D_Loss: 0.1272 | G_Loss: 16.5173 | G_GAN: 16.4702 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0235 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2660] | D_Loss: 0.1666 | G_Loss: 13.3386 | G_GAN: 13.2915 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0235 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
Step [2661] | D_Loss: 0.3238 | G_Loss: 9.6972 | G_GAN: 9.6558 | L_Words: 0.0000 | L_Sent: 0.0000 | L_DAMSM: 0.0000 | L_KL: 0.0207 | Gamma_DAMSM: 0.0000 | Lambda_KL: 2.0000
