/home/skyvision/.local/lib/python3.10/site-packages/torch/nn/modules/rnn.py:123: UserWarning: dropout option adds dropout after all but last recurrent layer, so non-zero dropout expects num_layers greater than 1, but got dropout=0.5 and num_layers=1
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/skyvision/.local/lib/python3.10/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=Inception_V3_Weights.IMAGENET1K_V1`. You can also use `weights=Inception_V3_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Using device: cuda:0
Visible GPU IDs for training: [0]
Train dataset size: 8855 | Batches: 2213
Validation dataset size: 2933 | Batches: 734
Variant settings: variant=attenx_mhsa, attention_mode=multihead, spectral_norm=on, mhsa_heads=4
Loaded pretrained DAMSM text encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (9/9 tensors)
Loaded pretrained DAMSM image encoder weights from: ./checkpoints/damsm_quick/damsm_latest.pth (567/567 tensors)
Step [60] | D_Loss: 1.4836 | G_Loss: 1.8828 | G_GAN: 6.7282 | L_Words: -0.9984 | L_Sent: 0.0023 | L_DAMSM: -0.9961 | L_KL: 0.0675 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [61] | D_Loss: 1.4911 | G_Loss: 4.2537 | G_GAN: 9.0954 | L_Words: -0.9976 | L_Sent: 0.0029 | L_DAMSM: -0.9947 | L_KL: 0.0658 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [62] | D_Loss: 0.7713 | G_Loss: 2.9772 | G_GAN: 7.8294 | L_Words: -0.9983 | L_Sent: 0.0022 | L_DAMSM: -0.9961 | L_KL: 0.0642 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [63] | D_Loss: 0.8235 | G_Loss: 6.0627 | G_GAN: 10.9131 | L_Words: -0.9978 | L_Sent: 0.0025 | L_DAMSM: -0.9953 | L_KL: 0.0630 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [64] | D_Loss: 0.4794 | G_Loss: 5.4691 | G_GAN: 10.3262 | L_Words: -0.9979 | L_Sent: 0.0015 | L_DAMSM: -0.9964 | L_KL: 0.0625 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [65] | D_Loss: 0.7939 | G_Loss: 4.0780 | G_GAN: 8.9241 | L_Words: -0.9975 | L_Sent: 0.0036 | L_DAMSM: -0.9939 | L_KL: 0.0616 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [66] | D_Loss: 1.4503 | G_Loss: 1.2639 | G_GAN: 6.1147 | L_Words: -0.9977 | L_Sent: 0.0031 | L_DAMSM: -0.9946 | L_KL: 0.0612 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [67] | D_Loss: 0.9816 | G_Loss: 3.4718 | G_GAN: 8.3265 | L_Words: -0.9978 | L_Sent: 0.0024 | L_DAMSM: -0.9954 | L_KL: 0.0612 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [68] | D_Loss: 1.5703 | G_Loss: 4.9012 | G_GAN: 9.7547 | L_Words: -0.9976 | L_Sent: 0.0029 | L_DAMSM: -0.9947 | L_KL: 0.0601 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [69] | D_Loss: 0.9988 | G_Loss: 4.6467 | G_GAN: 9.5045 | L_Words: -0.9980 | L_Sent: 0.0028 | L_DAMSM: -0.9952 | L_KL: 0.0592 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [70] | D_Loss: 1.2036 | G_Loss: 2.1281 | G_GAN: 6.9896 | L_Words: -0.9984 | L_Sent: 0.0027 | L_DAMSM: -0.9957 | L_KL: 0.0585 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [71] | D_Loss: 1.6868 | G_Loss: -0.8291 | G_GAN: 4.0284 | L_Words: -0.9971 | L_Sent: 0.0026 | L_DAMSM: -0.9946 | L_KL: 0.0577 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [72] | D_Loss: 1.3812 | G_Loss: 0.1907 | G_GAN: 5.0582 | L_Words: -0.9974 | L_Sent: 0.0012 | L_DAMSM: -0.9962 | L_KL: 0.0566 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [73] | D_Loss: 1.1835 | G_Loss: 0.7714 | G_GAN: 5.6355 | L_Words: -0.9978 | L_Sent: 0.0027 | L_DAMSM: -0.9951 | L_KL: 0.0557 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [74] | D_Loss: 0.9648 | G_Loss: 0.6721 | G_GAN: 5.5417 | L_Words: -0.9982 | L_Sent: 0.0024 | L_DAMSM: -0.9958 | L_KL: 0.0546 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [75] | D_Loss: 0.9592 | G_Loss: -0.0479 | G_GAN: 4.8168 | L_Words: -0.9980 | L_Sent: 0.0035 | L_DAMSM: -0.9945 | L_KL: 0.0539 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [76] | D_Loss: 1.4003 | G_Loss: 0.1126 | G_GAN: 4.9707 | L_Words: -0.9966 | L_Sent: 0.0037 | L_DAMSM: -0.9929 | L_KL: 0.0532 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
Step [77] | D_Loss: 0.9517 | G_Loss: 0.9361 | G_GAN: 5.8060 | L_Words: -0.9982 | L_Sent: 0.0033 | L_DAMSM: -0.9949 | L_KL: 0.0523 | Gamma_DAMSM: 5.0000 | Lambda_KL: 2.0000
